"",id,courtType,courtCases,judgmentType,judges,textContent,keywords,judgmentDate
12,66805,COMMON,[{'caseNumber': 'I C 1284/12'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 1284/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 9 września 2014r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSO Dorota Witek...,[odszkodowanie],2014-09-09
13,66809,COMMON,[{'caseNumber': 'I C 1849/13'}],SENTENCE,"[{'name': 'Beata Glazar', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 1849/13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ 20 maja 2014 r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący:SSO Beata Glazar Protoko...,[kredyt],2014-05-20
14,74169,COMMON,[{'caseNumber': 'I C 1494/13'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 1494/13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 18 listopada 2014 r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSO Dorota Wi...,[zadośćuczynienie],2014-11-18
15,74170,COMMON,[{'caseNumber': 'I C 1633/13'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 1633 / 13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 21 października 2014 r. Sąd Okręgowy w Jeleniej Górze Wydział I Cywilny w składzie następującym: Przewodniczący: SSO Dorota W...,[zadośćuczynienie],2014-10-21
16,126645,COMMON,[{'caseNumber': 'I C 1013/14'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 1013/14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 9 grudnia 2014r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSO Dorota Witek ...,[zadośćuczynienie],2014-12-09
17,126647,COMMON,[{'caseNumber': 'I C 1263/14'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 1263/14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 16 grudnia 2014 r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSO Dorota Wite...,[przedawnienie],2014-12-16
18,126649,COMMON,[{'caseNumber': 'I C 314/14'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 314/14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 2 grudnia 2014 r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSO Dorota Witek ...,[użytkowanie wieczyste],2014-12-02
19,129583,COMMON,[{'caseNumber': 'I C 1934/13'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 1934 / 13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 27 stycznia 2015 r. Sąd Okręgowy w Jeleniej Górze Wydział I Cywilny w składzie następującym: Przewodniczący: SSO Dorota Witek...,[powództwo przeciwegzekucyjne],2015-01-27
20,3032,COMMON,[{'caseNumber': 'II Cz 744/12'}],DECISION,"[{'name': 'J.jakubowska', 'function': None, 'specialRoles': []}, {'name': 'M.lechowska', 'function': None, 'specialRoles': []}, {'name': 'W. Damaszko', 'function': None, 'specialRoles': ['PRESIDIN...",Sygn. akt II Cz 744/12 POSTANOWIENIE Dnia 6 grudnia 2012 r. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie następującym: Przewodniczący: SSO W. Damaszko/spr./ Sędziowie: SS...,[przywrócenie terminu procesowego],2012-12-06
21,3806,COMMON,[{'caseNumber': 'II Ca 768/12'}],DECISION,"[{'name': 'A. Mikuliszyn', 'function': None, 'specialRoles': []}, {'name': 'J. Kwapiszewska', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'W. Damaszko', 'function': None, 'spe...","Sygn. akt II Ca 768/12 POSTANOWIENIE Dnia 17 grudnia 2012 r. Sąd Okręgowy w Jeleniej Górze, Wydział II Cywilny Odwoławczy w składzie następującym: Przewodniczący: SSO J. Kwapiszewska/spr./ Sędziow...",[hipoteka przymusowa],2012-12-17
22,3834,COMMON,[{'caseNumber': 'II Cz 44/13'}],DECISION,"[{'name': 'J. Jakubowska', 'function': None, 'specialRoles': []}, {'name': 'M. Lechowska', 'function': None, 'specialRoles': []}, {'name': 'W. Damaszko', 'function': None, 'specialRoles': ['PRESID...",Sygn. akt II Cz 44/13 POSTANOWIENIE Dnia 18 stycznia 2013 r. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie następującym: Przewodniczący: SSO W. Damaszko/spr/ Sędziowie: SS...,[zażalenie],2013-01-18
23,3840,COMMON,[{'caseNumber': 'II Cz 34/13'}],DECISION,"[{'name': 'J. Jakubowska', 'function': None, 'specialRoles': []}, {'name': 'M. Lechowska', 'function': None, 'specialRoles': []}, {'name': 'W. Damaszko', 'function': None, 'specialRoles': ['PRESID...",Sygn. akt II Cz 34/13 POSTANOWIENIE Dnia 14 stycznia 2013 r. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie następującym: Przewodniczący: SSO W. Damaszko/spr./ Sędziowie: S...,[skarga na czynności komornika],2013-01-14
24,4045,COMMON,[{'caseNumber': 'II Cz 54/13'}],DECISION,"[{'name': 'J. Jakubowska', 'function': None, 'specialRoles': []}, {'name': 'M. Lechowska', 'function': None, 'specialRoles': []}, {'name': 'W. Damaszko', 'function': None, 'specialRoles': ['PRESID...",Sygn. akt II Cz 54/13 POSTANOWIENIE Dnia 23 stycznia 2013 r. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie następującym: Przewodniczący: SSO W. Damaszko/spr./ Sędziowie: S...,[zwrot pozwu],2013-01-23
25,4128,COMMON,[{'caseNumber': 'II Cz 65/13'}],DECISION,"[{'name': 'A. Mikuliszyn', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'J. Jakubowska', 'function': None, 'specialRoles': []}, {'name': 'M. Lechowska', 'function': None, 'spec...",Sygn. akt II Cz 65/13 POSTANOWIENIE Dnia 30 stycznia 2013 r. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie następującym: Przewodniczący : SSO A. Mikuliszyn/ spr./ Sędziowi...,[klauzula wykonalności],2013-01-30
26,4219,COMMON,[{'caseNumber': 'II Ca 735/12'}],SENTENCE,"[{'name': 'Wojciech Damaszko', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn.akt IICa 735/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 27 listopada 2012 roku. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie: Przewodniczący-Sędzia: SO Wojcie...,[umowa zlecenia],2012-11-27
27,4238,COMMON,[{'caseNumber': 'II Ca 750/12'}],SENTENCE,[],Sygn. akt II Ca 750/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 20 grudnia 2012 r. Sąd Okręgowy w Jeleniej Górze II Wydział Cywilny Odwoławczy w następującym składzie: PrzewodniczącySSO Wojc...,[odszkodowanie],2012-12-20
28,4239,COMMON,[{'caseNumber': 'II Ca 779/12'}],SENTENCE,"[{'name': 'Wojciech Damaszko', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt II Ca 779/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 21 grudnia 2012 r. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie: Przewodniczący - Sędzia: SO Wojciec...,[czynsz],2012-12-21
29,4708,COMMON,[{'caseNumber': 'II Cz 35/13'}],DECISION,"[{'name': 'A. Izydorczyk', 'function': None, 'specialRoles': []}, {'name': 'A. Mikuliszyn', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'M. Lechowska', 'function': None, 'spec...",Sygn. akt II Cz 35/13 POSTANOWIENIE Dnia 28 stycznia 2013 r. Sąd Okręgowy w Jeleniej Górze Wydział II Cywilny Odwoławczy w składzie następującym: Przewodniczący : SSO A. Mikuliszyn/spr./ Sędziowie...,[koszty sądowe],2013-01-28
30,136699,COMMON,[{'caseNumber': 'I C 190/12'}],SENTENCE,"[{'name': 'Ilona Kata', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 190/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 05 grudnia 2012 r. Sąd Rejonowy w Bolesławcu I Wydział Cywilny w składzie : Przewodniczący : SSR Ilona Kata Protokolant : Maciej...,[],2012-12-05
31,136700,COMMON,[{'caseNumber': 'I C 69/12'}],SENTENCE,"[{'name': 'Ilona Kata', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 69/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 22 listopada 2012 r. Sąd Rejonowy w Bolesławcu I Wydział Cywilny w składzie : Przewodniczący : SSR Ilona Kata Protokolant : Justy...,[umowa pożyczki],2012-11-22
32,137316,COMMON,[{'caseNumber': 'I C 802/12'}],SENTENCE,"[{'name': 'Janina Jakubiec', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 802/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 15 stycznia 2013r. Sąd Rejonowy w Bolesławcu I Wydział Cywilny w składzie : Przewodniczący : SSR Janina Jakubiec Protokolant : L...,[],2013-01-15
33,138223,COMMON,[{'caseNumber': 'I C 169/12'}],SENTENCE,"[{'name': 'Ilona Kata', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 169/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 05 grudnia 2012 r. Sąd Rejonowy w Bolesławcu Wydział I Cywilny w składzie: Przewodniczący: SSR Ilona Kata Protokolant: Maciej Sk...,[],2012-12-05
34,138267,COMMON,[{'caseNumber': 'I C 583/12'}],SENTENCE,"[{'name': 'Bożena Roman', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 583/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 14 lutego 2013 r. Sąd Rejonowy w Bolesławcu Wydział I Cywilny w składzie : Przewodniczący : SSR Bożena Roman Protokolant : Wiesł...,[],2013-02-14
35,138268,COMMON,[{'caseNumber': 'I C 782/12'}],SENTENCE,"[{'name': 'Janina Jakubiec', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 782/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 19 lutego 2013 r. Sąd Rejonowy w Bolesławcu I Wydział Cywilny w składzie : Przewodniczący : SSR Janina Jakubiec Protokolant : Ju...,[],2013-02-19
36,138270,COMMON,[{'caseNumber': 'I C 968/12'}],SENTENCE,"[{'name': 'Ilona Kata', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 968/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 5 marca 2013 r. Sąd Rejonowy w Bolesławcu I Wydział Cywilny w składzie : Przewodniczący : SSR Ilona Kata Protokolant : Maciej Sk...,[],2013-03-05
37,138386,COMMON,[{'caseNumber': 'I Ns 302/12'}],DECISION,"[{'name': 'Janina Jakubiec', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]","Sygn. akt I Ns 302/12 POSTANOWIENIE Dnia 15 stycznia 2013r. Sąd Rejonowy w Bolesławcu, Wydział I Cywilny w składzie: Przewodniczący: SSR Janina Jakubiec Protokolant: Laura Rynkiewicz po rozpoznani...",[],2013-01-15
38,138808,COMMON,[{'caseNumber': 'I C 10/12'}],SENTENCE,"[{'name': 'Ilona Kata', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 10/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 14 marca 2013 r. Sąd Rejonowy w Bolesławcu I Wydział Cywilny w składzie : Przewodniczący : SSR Ilona Kata Protokolant : Justyna B...,[umowa o dzieło],2013-03-14
39,138813,COMMON,[{'caseNumber': 'I C 273/12'}],SENTENCE,"[{'name': 'Bożena Roman', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 273/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 18 marca 2013 r. Sąd Rejonowy w Bolesławcu Wydział I Cywilny w składzie : Przewodniczący : SSR Bożena Roman Protokolant : Wiesła...,[ubezpieczenie oc],2013-03-18
40,66149,COMMON,[{'caseNumber': 'I C 164/12'}],SENTENCE,"[{'name': 'Marek Gajdecki', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 164/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 28 marca 2013 r. Sąd Rejonowy w Jeleniej Górze Wydział I Cywilny w składzie: Przewodniczący SSR Marek Gajdecki Protokolant Pauli...,"[konsument, umowa o dzieło]",2013-03-28
41,66151,COMMON,[{'caseNumber': 'I C 1957/12'}],SENTENCE,"[{'name': 'Marek Gajdecki', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 1957/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 20 marca 2013 r. Sąd Rejonowy w Jeleniej Górze Wydział I Cywilny w składzie: Przewodniczący SSR Marek Gajdecki Protokolant Paul...,"[postępowanie dowodowe (przepisy ogólne), umowa ubezpieczenia]",2013-03-20
42,66153,COMMON,[{'caseNumber': 'I C 5/13'}],SENTENCE,"[{'name': 'Marta Ładzińska', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]","Sygnatura akt I C 5/13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Jelenia Góra, dnia 20 marca 2013 r. Sąd Rejonowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSR Ma...",[przedawnienie],2013-03-20
43,69080,COMMON,[{'caseNumber': 'I C 1188/12'}],SENTENCE,"[{'name': 'Paweł Siwek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]","Sygnatura akt I C 1188/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Jelenia Góra, dnia 26-03-2013 r. Sąd Rejonowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący:SSR Paw...",[],2013-03-26
44,69086,COMMON,[{'caseNumber': 'I C 1917/12'}],SENTENCE,"[{'name': 'Marek Gajdecki', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 1917/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 16 kwietnia 2013 r. Sąd Rejonowy w Jeleniej Górze Wydział I Cywilny w składzie : Przewodniczący SSR Marek Gajdecki Protokolant ...,[ciężar dowodu],2013-04-16
45,125607,COMMON,[{'caseNumber': 'I C 1368/12'}],SENTENCE,"[{'name': 'Paweł Siwek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]","Sygnatura akt I C 1368/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Jelenia Góra, dnia 19-09-2013 r. Sąd Rejonowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący:SSR Paw...",[ubezpieczenie],2013-09-19
46,125619,COMMON,[{'caseNumber': 'I C 1689/12'}],SENTENCE,"[{'name': 'Paweł Siwek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]","Sygnatura akt I C 1689/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Jelenia Góra, dnia 03-10-2013 r. Sąd Rejonowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący:SSR Paw...","[odszkodowanie, zadośćuczynienie]",2013-10-03
47,125624,COMMON,[{'caseNumber': 'I C 2221/12'}],SENTENCE,"[{'name': 'Jaromir Antoszewski', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]","Sygnatura akt I C 2221/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Jelenia Góra, dnia 03.09.2013 r. Sąd Rejonowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSR Ja...",[kara],2013-09-03
48,125626,COMMON,[{'caseNumber': 'I C 38/12'}],SENTENCE,"[{'name': 'Marek Gajdecki', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C 38/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 14 października 2013 r. Sąd Rejonowy w Jeleniej Górze Wydział I Cywilny w składzie : Przewodniczący SSR Marek Gajdecki Protokolan...,[umowa],2013-10-14
49,125630,COMMON,[{'caseNumber': 'I C 884/13'}],SENTENCE,"[{'name': 'Paweł Siwek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]","Sygnatura akt I C 884/13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Jelenia Góra, dnia 19-09-2013 r. Sąd Rejonowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący:SSR Pawe...",[zachowek],2013-09-19
50,57866,COMMON,[{'caseNumber': 'I C 257/14'}],SENTENCE,"[{'name': 'Teresa Mertuszka', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C upr. 257 / 14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 02 lipca 2014 roku Sąd Rejonowy w Lubaniu Wydział I Cywilny w składzie następującym : Przewodniczący : SSR Teresa Mertusz...,[cesja],2014-07-02
51,57867,COMMON,[{'caseNumber': 'I C 365/14'}],SENTENCE,"[{'name': 'Teresa Mertuszka', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C upr. 365 / 14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 09 lipca 2014 roku Sąd Rejonowy w Lubaniu Wydział I Cywilny w składzie : Przewodniczący : SSR Teresa Mertuszka Protokolan...,[przedawnienie],2014-07-09
52,58199,COMMON,[{'caseNumber': 'I C 270/14'}],SENTENCE,"[{'name': 'Teresa Mertuszka', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C upr. 270 / 14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 06 sierpnia 2014 roku Sąd Rejonowy w Lubaniu Wydział I Cywilny w składzie następującym : Przewodniczący : SSR Teresa Mert...,[użytkowanie wieczyste],2014-08-06
53,64161,COMMON,[{'caseNumber': 'I C 217/13'}],SENTENCE,"[{'name': 'Teresa Mertuszka', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C upr. 217 / 13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 24 września 2014 roku Sąd Rejonowy w Lubaniu Wydział I Cywilny w składzie następującym : Przewodniczący : SSR Teresa Mert...,[ubezpieczenie auto-casco],2014-09-24
54,67263,COMMON,[{'caseNumber': 'I C 341/14'}],SENTENCE,"[{'name': 'Teresa Mertuszka', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I Cupr. 341 / 14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 08 października 2014 roku Sąd Rejonowy w Lubaniu Wydział I Cywilny w składzie następującym : Przewodniczący : SSR Teresa M...,[przedawnienie],2014-10-08
55,73692,COMMON,[{'caseNumber': 'I C 301/14'}],SENTENCE,"[{'name': 'Teresa Mertuszka', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygn. akt I C upr. 301 / 14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 03 grudnia 2014 roku Sąd Rejonowy w Lubaniu Wydział I Cywilny w składzie następującym : Przewodniczący : SSR Teresa Mertu...,[ubezpieczenie auto-casco],2014-12-03
