;id;extractedDecision;sumOfMoney
11;138816;1. zasądza od pozwanego K. G. na rzecz powoda M. Ż. kwotę 9575,50 złotych ( dziewięć tysięcy pięćset siedemdziesiąt pięć złotych 00) wraz z ustawowymi odsetkami od dnia 14 stycznia 2011r. do dnia zapłaty,2. zasądza od pozwanego K. G. na rzecz powoda M. Ż. kwotę 1517,00 złotych tytułem zwrotu kosztów procesu, w tym kwotę 1200,00 złotych tytułem kosztów zastępstwa procesowego;12292.5
12;138817;"1. zasądza od strony pozwanej (...) S.A. V. (...) na rzecz powódki B. S. kwotę 16 462,38 złotych ( szesnaście tysięcy czterysta sześćdziesiąt dwa złote 38) wraz z ustawowymi odsetkami od dnia 18 lutego 2012r. do dnia zapłaty,2. zaś dalej idące powództwo oddala;3. przyznaje na rzecz biegłego sądowego K. L. kwotę (...),02 ( jeden tysiąc siedemdziesiąt cztery złote 02) tytułem wynagrodzenia za sporządzenie opinii, którą wypłacić z zaliczek uiszczonych przez powódkę;4. zasądza od strony pozwanej (...) S.A. V. (...) na rzecz powódki B. S. kwotę 1302,25 złotych tytułem kosztów postępowania";
13;138819;I. wyrokowi w pkt II nadaje rygor natychmiastowej wykonalności;0
14;138818;I. Z. z. s. w W.przeciwko S. W;0
15;138820;I. Z. w W.przeciwko J. Z.o zapłatę1. powództwo oddala;0
16;141133;I. powództwo oddala;0
17;138822;I. zasądza od strony pozwanej na rzecz powódki koszty procesu w kwocie 568,44 zł, w tym kwotę 273 zł tytułem zwrotu kosztów zastępstwa procesowego;841.44
18;138821;"1. powództwo oddala;2. zasądza powoda R. P. (1) na rzecz strony pozwanej (...) S.A. w S. kwotę 617,00 złotych tytułem kosztów zastępstwa procesowego";617.0
19;141135;"I. zasądza od strony pozwanej na rzecz powódki kwotę 855,73 zł tytułem zwrotu kosztów procesu;IV. zwraca powódce kwotę 447,33 zł tytułem różnicy między zaliczką pobraną od powódki na wydatki, a wysokością poniesionych wydatków";1303.06
20;66149;I. oddala powództwo w całości;0
21;66151;I. zasądza od strony powodowej (...) w J.na rzecz strony pozwanej (...) S.A.z/s w S.kwotę 197,00 zł. tytułem zwrotu kosztów zastępstwa procesowego;197.0
22;66153;I. zasądza od pozwanej na rzecz strony powodowej kwotę 168,00 zł tytułem zwrotu kosztów postępowania w tym tytułem zwrotu kosztów zastępstwa procesowego;168.0
23;69080;I. zasądza od powoda A. V. na rzecz pozwanego R. K. kwotę 197 złotych tytułem zwrotu kosztów zastępstwa procesowego;197.0
24;69086;I. oddala powództwo w całości;0
25;125607;I. zasądza od strony pozwanej na rzecz powódki kwotę 375,62 złotych tytułem zwrotu kosztów procesu;375.62
26;125619;"I. zasądza od powoda M. J. na rzecz pozwanego B. N. (1) kwotę 3.086,12 zł tytułem zwrotu kosztów procesu;IV. zasądza od powoda M. J. na rzecz interwenienta ubocznego (...)S.A. w W. kwotę 3.721,31 zł tytułem zwrotu kosztów procesu";6807.43
27;125624;I. zasądza od powoda na rzecz pozwanej kwotę 2417 zł tytułem zwrotu kosztów postępowania;2417.0
28;125626;akt I C 38;0
29;133920;I. zasądza od powoda M. C. na rzecz strony pozwanej (...)w J. kwotę 180 złotych tytułem zwrotu kosztów zastępstwa procesowego;180.0
30;125630;I. zasądza od powoda Ł. M. na rzecz pozwanego D. K. kwotę 2.417 złotych tytułem zwrotu kosztów zastępstwa procesowego,IV. zasądza od powoda Ł. M. na rzecz Skarbu Państwa – Sądu Rejonowego w Jeleniej Górze kwotę 30 zł ( trzydzieści złotych) tytułem kosztów uzyskania informacji z Banku (...) S.A.,V. nie obciążą kosztami procesu S. M. i A. D;2447.0
31;133923;I. B. kwotę 2.417 zł tytułem zwrotu kosztów zastępstwa procesowego;2417.0
32;133927;I. zasądza od pozwanego J. M. na rzecz strony powodowej Gminy J. – Zakładu (...) w J. kwotę 320,00 zł tytułem zwrotu kosztów postępowania, w tym kwotę 120,00 zł tytułem kosztów zastępstwa procesowego;440.0
33;133933;I. zasądza od pozwanego V. W. na rzecz powódki L. S. kwotę 4.347 zł tytułem zwrotu kosztów procesu, w tym kwotę 3.600 zł tytułem zwrotu kosztów zastępstwa procesowego;7947.0
34;133934;- o zapłatę;0
35;133935;"I. orzeka o braku uprawnienia pozwanej T. Z. do otrzymania lokalu socjalnego;IV. nakazuje wstrzymać opróżnienie lokalu przez pozwanego Z. Z. (1) do czasu złożenia pozwanemu przez Gminę J. oferty zawarcia umowy najmu lokalu socjalnego;V";0
36;133938;I. koszty postępowania wzajemnie znosi między stronami;0
37;133942;II. w pozostałym zakresie postępowanie umarza,III;0
38;134509;I. zasądza od powódki na rzecz strony pozwanej kwotę 617 złotych tytułem zwrotu kosztów procesu, w tym kwotę 600 złotych tytułem zwrotu kosztów zastępstwa procesowego;1217.0
39;134510;I. zasądza solidarnie od pozwanych na rzecz strony powodowej kwotę 3.417 złotych tytułem zwrotu kosztów procesu, w tym kwotę 2.400 złotych tytułem zwrotu kosztów zastępstwa procesowego;5817.0
40;136173;o wydanie nieruchomości i rzeczy ruchomej;0
41;136278;I. zasądza od pozwanej na rzecz strony powodowej kwotę 16,05 złotych tytułem zwrotu kosztów procesu;16.05
42;136279;I. zasądza od pozwanego na rzecz strony powodowej kwotę 244 złotych tytułem zwrotu kosztów procesu, w tym kwotę 180 złotych tytułem zwrotu kosztów zastępstwa procesowego;424.0
43;136345;I. zasądza od strony powodowej (...) sp. z o.o.w B.na rzecz strony pozwanej Gminy K.– (...)w K.kwotę 376,11 złotych tytułem zwrotu kosztów zastępstwa procesowego;376.11
44;136527;II. powództwo oddala,III. zasądza od strony powodowej (...) S.A. w W. na rzecz pozwanej H. J. kwotę 236 zł ( dwieście trzydzieści sześć złotych) tytułem zwrotu kosztów procesu, w tym kwotę 180 złotych tytułem zwrotu kosztów zastępstwa procesowego;416.0
45;136531;I. zasądza od powoda - pozwanego wzajemnego K. K. na rzecz strony pozwanej (powodowej wzajemnie) Gminy J. – Zakładu (...) w J. kwotę 320,00 zł tytułem zwrotu kosztów postępowania, w tym kwotę 120,00 zł tytułem kosztów zastępstwa procesowego;440.0
46;136557;I. oddala powództwo w całości;0
47;136560;I. zasądza od pozwanego na rzecz powoda kwotę 3600,00 zł tytułem zwrotu kosztów zastępstwa procesowego;3600.0
48;136558;I. koszty postępowania stron wzajemnie znosi;0
49;136561;"I. zasądza od strony pozwanej na rzecz powoda kwotę 4.063,00 zł tytułem zwrotu kosztów procesu w tym kwotę 2.400,00 zł tytułem zwrotu kosztów zastępstwa procesowego;IV. nakazuje stronie pozwanej uiścić na rzecz Skarbu Państwa – Sądu Rejonowego w Jeleniej Górze kwotę 131,10 zł tytułem nieuiszczonych kosztów procesu";6594.1
50;136800;"I. zasądza od pozwanych M. C.i M. W.solidarnie na rzecz powoda (...)S.A w W.kwotę 668,82 zł (sześćset sześćdziesiąt osiem złotych, osiemdziesiąt dwa grosze) z ustawowymi odsetkami: - od kwoty 623,49 zł od dnia 01.05.2011 r. do dnia zapłaty;- od kwoty 45,33 zł od dnia 06.07.2011 r. do dnia zapłaty;II. zasądza od pozwanej M. C.na rzecz powoda (...)S.A w W.kwotę 646,00 zł z ustawowymi odsetkami od dnia 01.05.2011 r. do dnia zapłaty;III. dalej idące powództwo oddala w odniesieniu do każdej z pozwanych;IV. zasądza od pozwanej M. C. na rzecz powoda kwotę 436,04 zł tytułem zwrotu kosztów postępowania;V. zasądza od pozwanej M. W. na rzecz powoda kwotę 111,45 zł tytułem zwrotu kosztów postępowania";1862.3100000000002
52;136804;akt I C 1457;0
53;136805;"I. zasądza od strony pozwanej (...) S.A. w W. na rzecz powoda M. C. kwotę 742,00 zł tytułem zwrotu kosztów procesu w tym kwotę 600,00 zł tytułem zwrotu kosztów zastępstwa procesowego;IV. nakazuje stronie pozwanej (...) S.A. w W. uiścić na rzecz Skarbu Państwa – Sądu Rejonowego w Jeleniej Górze kwotę 206,29 zł tytułem nieuiszczonych kosztów procesu";1548.29
55;136808;I. nadaje rygor natychmiastowej wykonalności punktowi I wyroku co do kwoty 1.180,80 złotych;0
56;136809;I. zasądza od strony pozwanej na rzecz powódki kwotę 3.354,36 złotych tytułem zwrotu kosztów procesu, w tym kwotę 2.040 złotych tytułem zwrotu kosztów zastępstwa procesowego;5394.360000000001
57;136850;I. zasądza od strony powodowej (...) Sp. z o.o. w J. na rzecz strony pozwanej Towarzystwa (...) S.A. w W. kwotę 600,00 zł tytułem zwrotu kosztów zastępstwa procesowego;600.0
58;136851;I. wyrokowi w punkcie I nadaje rygor natychmiastowej wykonalności;0
59;136852;I. nakazuje wstrzymać opróżnienie lokalu do czasu złożenia pozwanym przez Gminę J. oferty zawarcia umowy najmu lokalu socjalnego,IV. zasądza solidarnie od pozwanych G. B., D. B., S. B. na rzecz strony powodowej kwotę 320 złotych tytułem zwrotu kosztów procesu w tym kwotę 120 złotych tytułem zwrotu kosztów zastępstwa procesowego,V. nie obciążą małoletnich pozwanych A. B. i P. B. kosztami procesu;440.0
60;136875;I. oddala powództwo w całości;0
61;136877;I;0
62;136878;I. zasądza od pozwanej na rzecz strony powodowej kwotę 210 złotych tytułem zwrotu kosztów procesu, w tym kwotę 180 złotych tytułem zwrotu kosztów zastępstwa procesowego;390.0
63;136882;I. oddala powództwo wzajemne J. S. przeciwko A. Ö;0
64;137255;I. oddala powództwo w całości;0
65;137256;I. zasądza od strony pozwanej Spółdzielni Mieszkaniowej (...) w J. na rzecz powoda T. Z. kwotę 30,00 zł tytułem zwrotu kosztów postępowania;30.0
66;137257;I. zasądza od pozwanego na rzecz powódki kwotę 255,00 zł tytułem zwrotu kosztów procesu w tym kwotę 180,00 zł tytułem zwrotu kosztów zastępstwa procesowego;435.0
67;137952;I. zasądza od strony pozwanej na rzecz powódki kwotę 4.075,43 złotych tytułem zwrotu kosztów procesu w tym kwotę 2.400 złotych tytułem zwrotu kosztów zastępstwa procesowego;6475.43
68;137957;"I. dalej idące powództwo oddala;IV. zasądza od powoda na rzecz strony pozwanej kwotę 343,14 zł tytułem zwrotu kosztów procesu;V. nakazuje powodowi uiścić na rzecz Skarbu Państwa Sądu Rejonowego w Jeleniej Górze kwotę 367,27 zł tytułem nieuiszczonych kosztów procesu";710.41
69;137964;I. zasądza od powoda na rzecz pozwanej kwotę 26,75 zł tytułem zwrotu kosztów procesu;26.75
70;138513;I. zasądza od powoda M. N. (1) solidarnie na rzecz pozwanych B. W. i O. W. kwotę 754 złote tytułem zwrotu kosztów zastępstwa procesowego;754.0
71;138516;I. zasądza od pozwanego na rzecz strony powodowej kwotę 227 złotych tytułem zwrotu kosztów procesu, w tym kwotę 180 złotych tytułem zwrotu kosztów zastępstwa procesowego;407.0
72;138517;I. zasądza od pozwanej T. R. na rzecz strony powodowej Przedsiębiorstwa (...) Spółki z o.o. w J. kwotę 84,50 zł tytułem zwrotu kosztów postępowania, w tym kwotę 76,00 zł tytułem zwrotu kosztów zastępstwa procesowego, nie obciążając pozwanej kosztami postępowania należnymi Skarbowi Państwa;160.5
73;138518;powództwo oddala;0
74;138519;I. Ś., E. Ś.o eksmisjępowództwo oddala;0
75;138520;I. wyrokowi w stosunku do (...) Sp. z o.o. w B. nadaje rygor natychmiastowej wykonalności;0
76;138522;I;0
77;138609;I. zasądza od pozwanego J. J. na rzecz strony powodowej Gminy J. – Zakładu (...) w J. kwotę 2.920 zł tytułem zwrotu kosztów procesu, w tym kwotę 2.400 zł tytułem zwrotu kosztów zastępstwa procesowego,IV. zasądza od strony powodowej Gminy J. – Zakładu (...) w J. na rzecz pozwanej O. J. kwotę 2.417 zł tytułem zwrotu kosztów zastępstwa procesowego;7737.0
78;138611;I. zasądza od strony powodowej Wspólnoty Mieszkaniowej przy Placu (...) w J. na rzecz strony pozwanej Gminy J. – Zakładu (...) w J. kwotę 60 zł ( sześćdziesiąt złotych) tytułem zwrotu kosztów zastępstwa procesowego;60.0
79;138612;I. zasądza od strony powodowej Zakładów (...) S.A. w J. na rzecz strony pozwanej Przedsiębiorstwa (...) sp. z o.o. w J. kwotę 617 złotych tytułem zwrotu kosztów zastępstwa procesowego;617.0
80;138613;I. zasądza od powódki A. G. na rzecz strony pozwanej (...) S.A. w W. kwotę 617 złotych tytułem zwrotu kosztów zastępstwa procesowego;617.0
81;138614;"I. dalej idące powództwa oddala;IV. zasądza od powódek M. S. (1) i A. S. (1) na rzecz pozwanej E. G";0
82;138615;o zapłatę;0
83;138616;I. zasądza od strony powodowej (...) S.A. w W.na rzecz pozwanego M. S.kwotę 197 złotych tytułem zwrotu kosztów zastępstwa procesowego;197.0
84;138617;I. zasądza od pozwanego na rzecz strony powodowej kwotę 227 złotych tytułem zwrotu kosztów procesu, w tym kwotę 180 złotych tytułem zwrotu kosztów zastępstwa procesowego;407.0
85;138618;"I. umarza postępowanie co do kwoty 2.231,57 zł;IV. zasądza od strony pozwanej na rzecz powoda kwotę 4.118,00 zł tytułem zwrotu kosztów procesu w tym kwotę 2.400,00 zł tytułem zwrotu kosztów zastępstwa procesowego;V. nakazuje stronie pozwanej uiścić na rzecz Skarbu Państwa - Sądu Rejonowego w Jeleniej Górze kwotę 477,10 zł tytułem nieuiszczonych kosztów procesu";6995.1
86;138619;I. zasądza od strony powodowej (...). z siedzibą w L.na rzecz pozwanego R. S.kwotę 180 złotych tytułem zwrotu kosztów zastępstwa procesowego;180.0
87;138620;I. zasądza od pozwanej na rzecz strony powodowej kwotę 3.244 złotych tytułem zwrotu kosztów procesu, w tym kwotę 2.400 złotych tytułem zwrotu kosztów zastępstwa procesowego;5644.0
88;138621;I. zasądza od strony pozwanej na rzecz powodów kwotę 373,00 zł tytułem zwrotu kosztów procesu, w tym kwotę 156,00 zł tytułem zwrotu kosztów zastępstwa procesowego;529.0
89;138622;I. zasądza od powoda E. Z. na rzecz pozwanego M. S. kwotę 617 złotych tytułem zwrotu kosztów zastępstwa procesowego;617.0
90;138623;I. zasądza od strony pozwanej na rzecz powoda kwotę 3.978,50 złotych tytułem zwrotu kosztów procesu w tym kwotę 2.400 złotych tytułem zwrotu kosztów zastępstwa procesowego;6378.5
91;138625;o zapłatę;0
92;138628;"I. zasądza od strony pozwanej na rzecz powódki kwotę 877,80 zł tytułem zwrotu kosztów procesu;IV. nakazuje stronie pozwanej uiścić na rzecz Skarbu Państwa – Sądu Rejonowego w Jeleniej Górze kwotę 194,61 zł tytułem nieuiszczonych kosztów procesu";1072.4099999999999
93;138632;I. nie obciąża powódki kosztami procesu poniesionymi przez stronę pozwaną;0
94;138633;I. zasądza od strony pozwanej na rzecz powoda kwotę 2 382, 30 zł tytułem zwrotu kosztów postępowania;2382.3
95;138702;o zapłatę;0
96;138703;I. nie obciąża powoda obowiązkiem zwrotu kosztów zastępstwa procesowego stronie pozwanej;0
97;138704;"I. koszty postępowania stosunkowo rozdziela, przy czym szczegółowe ich rozliczenie pozostawia Referendarzowi Sądowemu przy przyjęciu, że strona pozwana uległa co do 2 roszczenia;IV. wyrokowi w punkcie I nadaje rygor natychmiastowej wykonalności do kwoty 1.063,59 zł";0
98;138705;I. zasądza od strony pozwanej (...) w W.na rzecz strony powodowej (...) Sp. z o.o.w J.kwotę 1.420,00 zł tytułem zwrotu kosztów postępowania, w tym kwotę 617,00 zł tytułem kosztów zastępstwa procesowego;2037.0
99;138706;I. zasądza od powódki B. Ł. na rzecz strony pozwanej (...) S.A. w W. kwotę 617,00 zł tytułem zwrotu kosztów zastępstwa procesowego;617.0
100;138707;I. wyrokowi w pkt. I i II, wobec pozwanych B. G. i M. G. nadaje rygor natychmiastowej wykonalności;0
101;138711;I. zasądza od pozwanego M. R.na rzecz strony powodowej (...) we W.kwotę 1.450,00 zł tytułem zwrotu kosztów postępowania, w tym kwotę 1.200,00 zł tytułem zwrotu kosztów zastępstwa procesowego;2650.0
102;138715;II. zasądza od powoda R. B. na rzecz pozwanego T. W. kwotę 3.553,00 zł tytułem zwrotu kosztów postępowania w tym kwotę 2.400,00 zł tytułem zwrotu kosztów zastępstwa procesowego;5953.0
103;138716;I. zasądza od powoda M. R.prowadzącego działalność gospodarczą pod firmą (...)w J.na rzecz strony pozwanej (...) w W.kwotę 197,00 zł tytułem zwrotu kosztów zastępstwa procesowego;197.0
104;138787;"I. zasądza od pozwanego J. T.na rzecz strony powodowej (...)w K.kwotę 6744,95 zł (sześć tysięcy, siedemset czterdzieści cztery złote, dziewięćdziesiąt pięć groszy) z ustawowymi odsetkami:- od kwoty 550,52 zł od dnia 11.03.2009 r. do dnia zapłaty;- od kwoty 550,52 zł od dnia 11.04.2009 r. do dnia zapłaty;- od kwoty 350,52 zł od dnia 11.05.2009 r. do dnia zapłaty;- od kwoty 150,52 zł od dnia 11.06.2009 r. do dnia zapłaty;- od kwoty 550,52 zł od dnia 11.07.2009 r. do dnia zapłaty;- od kwoty 43,52 zł od dnia 11.08.2009 r. do dnia zapłaty;- od kwoty 43,52 zł od dnia 11.09.2009 r. do dnia zapłaty;- od kwoty 43,52 zł od dnia 11.10.2009 r. do dnia zapłaty;- od kwoty 43,52 zł od dnia 11.11.2009 r. do dnia zapłaty;- od kwoty 43,52 zł od dnia 11.12.2009 r. do dnia zapłaty;- od kwoty 43,52 zł od dnia 11.01.2010 r. do dnia zapłaty;- od kwoty 43,52 zł od dnia 11.02.2010 r. do dnia zapłaty;- od kwoty 4287,71 zł od dnia 01.01.2010 r. do dnia zapłaty;II. umarza postępowanie ponad kwotę 7066,45 zł;III. dalej idące powództwo oddala;IV. zasądza od pozwanego na rzecz strony powodowej kwotę 1233,47 zł tytułem zwrotu kosztów procesu";15044.869999999999
105;138788;I. Oddala powództwo w całości;0
106;138789;I. Oddala powództwo w całości;0
107;138790;I. zasądza od pozwanego M. R. na rzecz strony powodowej (...) SA z/s w W. kwotę 227,00 zł tytułem zwrotu kosztów postępowania, w tym kwotę 197,00 zł tytułem zwrotu kosztów zastępstwa procesowego;424.0
108;138791;I. koszty zastępstwa procesowego znosi między stronami i nie obciąża strony pozwanej obowiązkiem ponoszenia kosztów postępowania przypadającymi Skarbowi Państwa;0
109;138793;"I. nakazuje wstrzymanie wykonania opróżnienia lokalu opisanego w punkcie I wyroku do czasu złożenia przez Gminę P. oferty zawarcia umowy najmu lokalu socjalnego;IV. nie obciąża pozwanych kosztami postępowania";0
110;138794;I. zasądza od strony pozwanej Banku (...) S.A. w K. na rzecz Skarbu Państwa – Sądu Rejonowego w Jeleniej Górze kwotę 600 zł (sześćset złotych) tytułem zwrotu części opłaty sądowej od pozwu od której uiszczenia powódka była zwolniona;600.0
111;138795;I. nakazuje wstrzymać opróżnienie lokalu do czasu złożenia pozwanym przez Gminę J. oferty zawarcia umowy najmu lokalu socjalnego,IV. zasądza solidarnie od pozwanych E. Z. i D. Z. na rzecz strony powodowej kwotę 320zł tytułem zwrotu kosztów procesu, w tym kwotę 120 złotych tytułem zwrotu kosztów zastępstwa procesowego,V. nie obciążą P. P. (1) oraz małoletnich P. P. (2) i M. Z. kosztami postępowania;
112;138796;I. wyrokowi w punkcie I co do pozwanej T. Z. oraz w punkcie V nadaje rygor natychmiastowej wykonalności;0
113;138797;I. zasądza od strony powodowej na rzecz pozwanego kwotę 617,00 zł tytułem zwrotu kosztów postępowania, w tym 600,00 zł tytułem zwrotu kosztów zastępstwa adwokackiego;617.0
114;138798;II. dalej idące powództwo oddala,III. zasądza solidarnie od powodów S. B. i K. B. (1) na rzecz strony pozwanej Skarbu Państwa – Prezydenta Miasta J. kwotę 47,60 złotych tytułem zwrotu kosztów procesu;47.6
115;138826;I. zasądza od strony pozwanej na rzecz powoda kwotę 4.114 zł tytułem zwrotu kosztów procesu, w tym kwotę 2.400 zł tytułem zwrotu kosztów zastępstwa procesowego;6514.0
116;139517;I. zasądza od pozwanego na rzecz powoda kwotę 30,00 zł tytułem zwrotu kosztów procesu;30.0
117;140314;I. znosi postępowanie w sprawie i odrzuca pozew wobec pozwanego Z. W;0
118;140315;"I. zasądza od strony pozwanej na rzecz powoda kwotę 2.624,58 zł tytułem zwrotu kosztów procesu;IV. nakazuje stronie pozwanej uiścić na rzecz Skarbu Państwa - Sądu Rejonowego w Jeleniej Górze kwotę 444,71 zł tytułem nieuiszczonych kosztów procesu;V. nakazuje powodowi uiścić na rzecz Skarbu Państwa - Sądu Rejonowego w Jeleniej Górze kwotę 156,72 zł tytułem nieuiszczonych kosztów procesu";3226.0099999999998
119;140317;o zapłatę;0
120;62033;1. nakazuje sprzedaż należącego do M. Ż. (1) lokalu stanowiącego odrębną nieruchomość położonego w B. przy ul. (...) w drodze licytacji na podstawie przepisów postępowania cywilnego o egzekucji z nieruchomości wraz z udziałem wynoszącym (...) stanowiącym prawo użytkowania wieczystego gruntu oraz części budynku i urządzenia, które nie służą wyłącznie do użytku właścicieli lokali,2. zasądza od pozwanego na rzecz powodów kwotę 5 000 zł tytułem zwrotu kosztów postępowania;5000.0
121;62040;1. powództwo oddala,2. zasądza od strony powodowej na rzecz strony pozwanej kwotę 7217 zł tytułem zwrotu kosztów zastępstwa procesowego;7217.0
122;66805;1. zasądza od pozwanego Gminy M. na rzecz powódki H. F. kwotę 63 563,10 zł (sześćdziesiąt trzy tysiące pięćset sześćdziesiąt trzy złote 10) z ustawowymi odsetkami od dnia 9 września 2014r. do dnia zapłaty,2. w pozostałej części powództwo oddala,3. zasądza od strony pozwanej Gminy M. na rzecz Skarbu Państwa - kasa Sądu Okręgowego w Jeleniej Górze kwotę 3 142,00 zł tytułem stosunkowo rozdzielonej opłaty sądowej w części od ponoszenia której powódka była zwolniona,4. ściągnąć z zasądzonej w punkcie 1 wyroku należności kwotę 3 391,00 zł tytułem brakującej opłaty sądowej,5. zasądza od powódki na rzecz pozwanego kwotę 5 332,35 zł tytułem stosunkowo rozdzielonych kosztów postępowania;75428.45000000001
123;66809;powództwo oddala;0
124;74169;1.2012r. mogące powstać w przyszłości,4. w pozostałym zakresie powództwo oddala,5. nakazuje pozwanemu D. H. uiścić na rzecz Skarbu Państwa – kasa Sądu Okręgowego w Jeleniej Górze kwotę 2 663,41 zł z tytułu części kosztów sądowych od ponoszenia których powód był zwolniony,6. zasądza od pozwanego na rzecz powoda kwotę 193,98 zł tytułem stosunkowo rozdzielonych kosztów postępowania, a w pozostałej części kosztami sądowymi pod ponoszenia których powód był zwolniony obciąża Skarb Państwa;2857.39
125;74170;"1.655,81 złotych pozew odrzuca ;4. w pozostałej części powództwo oddala ;5. zasądza od strony pozwanej na rzecz powoda kwotę 5.955,82 zł. tytułem zwrotu stosunkowo rozdzielonych kosztów postępowania ";5955.82
126;126645;1. zasądza od strony pozwanej (...) S.A. w W. na rzecz powódki M. R. kwotę 70 000 zł (siedemdziesiąt tysięcy złotych) z ustawowymi odsetkami od dnia 22.12.2013r. do dnia zapłaty,2. w pozostałym zakresie powództwo oddala,3. zasądza od strony pozwanej na rzecz Skarbu Państwa – kasa Sądu Okręgowego w J. kwotę 3 500 zł tytułem części kosztów sądowych od ponoszenia których powódka była zwolniona,4. nakazuje ściągnąć z zasądzonego w punkcie 1 roszczenia kwotę 1 500 zł tytułem kosztów sądowych od ponoszenia których powódka była zwolniona,5. zasądza od strony pozwanej na rzecz powódki kwotę 1 590,92 zł tytułem stosunkowo rozdzielonych kosztów postępowania;76590.92
127;126647;1. powództwo oddala,2. zasądza od powoda na rzecz pozwanej kwotę 3 617 zł tytułem zwrotu kosztów procesu;3617.0
128;126649;akt I C 314;0
129;129583;"1. pozbawia tytuł wykonawczy w postaci wyroku zaocznego wydanego w dniu 10 czerwca 1998 r. przez Sąd Wojewódzki w J. w sprawie (...) , wykonalności w całości ;2. pozbawia tytuł wykonawczy w postaci nakazu zapłaty w postępowaniu nakazowym wydanego w dniu 11 maja 1998 r. przez Sąd Rejonowy w Z. w sprawie (...) wykonalności w części ponad kwotę 50.000 zł. ;3. w pozostałej części powództwo oddala ;4. zasądza od Skarbu Państwa na rzecz radcy prawnego P. P. kwotę 7.200 złotych plus VAT tytułem nieopłaconej pomocy prawnej z urzędu ;5. zasadza od strony pozwanej (...) w W. Oddział (...) we W. na rzecz Skarbu Państwa ( kasa Sądu Okręgowego w J. ) kwotę 34.283 złote tytułem stosunkowo rozdzielonych kosztów postepowania , w pozostałej części kosztami od ponoszenie których powód był zwolniony obciąża Skarb Państwa ";91483.0
130;129589;1. zasądza od pozwanego (...) S.A. w S. na rzecz powoda P. D. kwotę 47 528,49 zł (czterdzieści siedem tysięcy pięćset dwadzieścia osiem złotych 49) z ustawowymi odsetkami od dnia 2 grudnia 2014r. do dnia zapłaty,2. w pozostałej części powództwo oddala,3. zasądza od pozwanego na rzecz Skarbu Państwa – kasa Sądu Okręgowego w J. kwotę 2 397,50 zł tytułem części kosztów sądowych od ponoszenia których powód był zwolniony,4. nakazuje ściągnąć z roszczenia zasądzonego w punkcie 1 na rzecz Skarbu Państwa – kasa Sądu Okręgowego w J. kwotę 4 452,50 zł tytułem kosztów sądowych od ponoszenia których powód był zwolniony,5. w pozostałym zakresie koszty postępowania wzajemnie znosi;54378.49
131;129590;"1. powództwo oddala;2. zasądza od strony powodowej na rzecz strony pozwanej kwotę 9489,61 zł tytułem zwrotu kosztów postępowania;3. kosztami sądowymi od ponoszenia których strona powodowa była zwolniona obciąża Skarb Państwa";9489.61
132;137039;I. zasądza od pozwanego na rzecz powodów kwotę 200 zł tytułem kosztów postępowania;200.0
